,CT2010,CT_Land,CT_LOT,CT_FP,Bldg/Land,Lot/Land,Bldg/Lot
0,1,34522622.2924,22545886,429752.7078,0.0124484375538,0.653075708127,0.0190612472626
1,100,5889900.88121,1157385,965828.852828,0.163980493442,0.19650330682,0.834492284614
2,101,7145034.32324,1580147,1028380.28571,0.143929369571,0.221153171352,0.650813048223
3,102,5803752.96311,1562269,996224.052218,0.171651698229,0.269182546178,0.637677667686
4,103,4571804.9758,899512,822591.602536,0.179927098135,0.19675204974,0.9144865244
5,104,5511358.76796,2094433,1056518.81945,0.191698429359,0.380021168677,0.504441450001
6,108,5271498.88247,1365728,973728.326649,0.184715646984,0.259077736797,0.712973832746
7,109,1891364.6233,1345370,1170715.04873,0.618979034665,0.711322387776,0.870180730007
8,110,27308098.8822,1154159,755649.176761,0.0276712480067,0.042264348206,0.654718437201
9,111,3511567.77132,1219296,781386.635343,0.222517885522,0.347222687814,0.640850650985
10,113,3813903.3732,1180513,1029717.91786,0.269990562712,0.309528817194,0.872263090589
11,115,7607994.97707,1036100,807686.91208,0.106162913424,0.136185684024,0.779545325818
12,116,5345204.94608,11454860,927799.896666,0.173576112801,2.14301605187,0.0809961794964
13,117,21494127.4088,1837077,683176.819194,0.0317843477058,0.0854687871278,0.371882517278
14,118,16983851.1537,2254477,828426.107273,0.0487772825949,0.13274239038,0.367458220808
15,119,12632352.9384,1321662,1122217.73094,0.0888367936213,0.104625164167,0.849095858805
16,12,3719185.293,977268,288984.162894,0.0777009318245,0.262763998836,0.295706155214
17,120,5545535.2014,1475427,887389.023083,0.160018643982,0.266056736891,0.601445563273
18,121,14797068.9827,2057521,932930.297653,0.063048317119,0.139049226736,0.453424435354
19,122,15001473.7505,1196509,938721.626813,0.0625752937628,0.0797594303,0.784550410246
20,124,3950754.45103,1062872,819911.098145,0.207532791093,0.269030134162,0.771410948962
21,125,10411438.455,1226136,990931.780812,0.0951772211971,0.117768164822,0.808174444606
22,126,7631768.03728,1502670,938062.29326,0.12291546188,0.196896707638,0.624263672836
23,127,4804026.15328,2558758,920932.841049,0.191700213876,0.532627824737,0.359914005564
24,128,38821426.7571,1869160,889031.39394,0.0229005337568,0.0481476379448,0.475631510379
25,129,8891621.31645,6836976,1924540.73353,0.216444297956,0.768923434397,0.281490052551
26,13,6601770.89458,11055862,1477719.26353,0.223836798812,1.67468126001,0.133659344114
27,130,7083726.51631,1217025,920732.324652,0.129978525079,0.171805757492,0.756543476635
28,131,6035049.67904,1338343,1048016.04594,0.173654916144,0.221761720479,0.783069845279
29,132,39830959.447,1710244,919618.076618,0.0230880222165,0.0429375546998,0.537711622797
30,133,15241913.1343,1703513,944053.484485,0.0619379913904,0.111765037958,0.55418038165
31,134,16059434.6975,1495841,951351.657227,0.0592394237498,0.0931440631738,0.635997848185
32,135,9416507.24844,5420054,1936293.54536,0.205627574458,0.57559070014,0.357246172337
33,136,6312996.41241,4199042,1053761.00738,0.166919310347,0.665142465747,0.250952719068
34,137,6225969.14956,1642808,1148678.72185,0.184497978428,0.263863819517,0.699216659433
35,138,29013321.9859,1407772,938948.787532,0.0323626776688,0.0485215722861,0.666975041081
36,139,3586396.38517,1733054,1007621.60536,0.280956563956,0.483229909322,0.581413854017
37,140,5895861.55294,1336152,890690.290374,0.151070421579,0.226625402921,0.666608507396
38,142,12997334.8883,1186898,886026.825333,0.0681698850532,0.0913185672448,0.746506292312
39,143,43526447.3577,1792910000,775257.651501,0.0178111860389,41.1912781502,0.000432401878232
40,145,7544045.73284,1532704,859051.323572,0.113871436361,0.203167379186,0.560480904057
41,147,24154586.4896,535040,351656.819361,0.0145585940588,0.0221506586433,0.65725332566
42,149,7389475.33008,1611020,839273.306267,0.113576846634,0.218015478507,0.52095772012
43,1502,3430496.81059,2725155,946379.410233,0.275872406385,0.79439076917,0.347275443134
44,151,19698515.0298,7362142,1039371.71416,0.0527639627956,0.373740964172,0.141177895531
45,152,10022557.6626,2736902,511219.609412,0.0510069012942,0.273074208414,0.186787692585
46,153,7326567.57974,1327350,875781.279331,0.119535003233,0.181169420135,0.659796797628
47,154,36861138.4713,1917991,806244.171123,0.0218724706984,0.0520328747169,0.420358683186
48,155,6464550.94315,1407411,407737.491834,0.063072825231,0.217712105973,0.289707478366
49,157,8537482.11178,1526269,943826.796613,0.110550954515,0.178772731821,0.618388237338
50,159,7511549.45131,1043162,713508.862369,0.0949882400421,0.138874410235,0.683986631385
51,16,9078284.74579,1806239,832530.040477,0.0917056540734,0.198962584957,0.460919092367
52,161,7371904.78263,1166241,761943.675377,0.103357774937,0.158200768239,0.653332952089
53,162,7471751.93786,8689060,650527.281369,0.0870648927827,1.16292137002,0.0748673943291
54,163,13530388.7331,917417,698317.472781,0.0516110428574,0.0678041864204,0.761177820752
55,164,14240494.7821,1775572,436628.084438,0.0306610192356,0.124684712657,0.245908408354
56,165,6246760.0112,6069962,900362.059344,0.144132647601,0.971697646319,0.148330757152
57,166,10009309.4497,1486286,681035.828757,0.0680402411554,0.148490363643,0.45821317617
58,167,6228561.8471,3658035,619671.249484,0.0994886564019,0.587300100697,0.169400032937
59,168,6195341.65651,6131494,664782.957291,0.107303679789,0.989694247703,0.108421040172
60,169,16214016.1757,1443040,904730.11445,0.0557992606302,0.0889995411601,0.62696121691
61,170,91684461.3992,6468682,581595.858314,0.00634345067243,0.0705537438,0.0899094836188
62,171,19728208.9419,1184175,760683.126288,0.0385581442557,0.0600244555138,0.642373911194
63,172,6209691.36655,1605116,614060.400403,0.0988874267908,0.258485632417,0.382564500262
64,173,7385652.45411,1352654,827953.420662,0.112102949036,0.183146175427,0.612095495716
65,175,25052344.0022,1123254,801211.403697,0.031981494571,0.0448362835789,0.713294948157
66,177,70347493.002,2632474,776585.386477,0.0110392759335,0.0374210066011,0.295002110743
67,178,6482502.50087,1955601,780768.863022,0.120442508571,0.301673774864,0.399247526986
68,179,10736537.188,876567,662984.364035,0.0617502973655,0.0816433627203,0.756341915718
69,18,36229999.2328,1712104,898005.679719,0.0247862461699,0.0472565287401,0.524504165471
70,180,5717245.04296,7648469,619448.636023,0.10834740008,1.33778925733,0.0809898864757
71,181,63525424.5658,1202164,572877.342984,0.00901807972004,0.0189241395586,0.476538428188
72,182,6447851.16598,3219069,620677.494271,0.0962611385241,0.499246790463,0.192812733828
73,183,8126740.12392,1506631,666376.923615,0.0819980599175,0.185391802497,0.442296039053
74,184,12665087.9141,4177567,481780.692204,0.0380400590562,0.329849032895,0.115325664963
75,185,9150609.98484,1292345,349423.051668,0.0381857660032,0.141230475579,0.270379079633
76,186,4450881.34638,5983813,291979.672008,0.0656004169254,1.34441081088,0.0487949192276
77,187,20861630.9248,972789,641640.389645,0.0307569620016,0.0466305344729,0.659588450985
78,188,5386787.31175,1091395,642540.592582,0.119280854319,0.202605920159,0.588733311571
79,189,29386528.2553,11901554,798292.528435,0.0271652548236,0.405000342218,0.0670746465911
80,190,5435563.79055,809199,446960.011067,0.0822288226741,0.148871217629,0.552348694285
81,191,5106605.01992,5145872,633292.182763,0.124014326601,1.00768944924,0.123068001451
82,192,6232721.90678,8745818,238278.902137,0.0382303118446,1.40321004704,0.0272448960334
83,193,7383580.61971,1681180,731309.272589,0.0990453426671,0.227691696832,0.434997604414
84,194,15749864.7005,4428050,536037.825099,0.0340344399963,0.281148446936,0.121055052472
85,195,6174792.44836,9454679,621027.334806,0.100574608782,1.53117357046,0.0656846556933
86,196,6332340.6961,1123414,664325.9674,0.104910016577,0.177408963591,0.59134563696
87,198,67102043.8612,5279757,519606.221211,0.00774352301825,0.0786825064661,0.0984147984862
88,199,23369172.5327,993330,680100.386182,0.0291024590293,0.0425059979599,0.684667115845
89,20,22674251.2505,12529343,183445.825803,0.00809049100569,0.552580231275,0.0146412964992
90,200,6521405.70914,841605,585144.882795,0.0897268026087,0.129052697767,0.695272583688
91,201,13099116.2878,2695667,363597.025848,0.0277573706393,0.205789989246,0.134882025802
92,202,4365679.44714,7565468,469919.011615,0.107639376025,1.73294170853,0.0621136738157
93,203,3428701.02878,20269419,697492.526801,0.20342763074,5.91169041274,0.0344110764497
94,205,15215288.7551,1850147,506613.706371,0.0332963583226,0.12159788945,0.273823488821
95,206,6692251.32132,868949,550110.332933,0.0822010869766,0.129844047732,0.633075511834
96,208,73847545.378,1107778,591082.909051,0.00800409690025,0.0150008777452,0.533575237142
97,21,17736345.4799,1978392,1301850.83873,0.0734001736832,0.111544511931,0.658034827643
98,210,7696209.55828,5628107,264465.370372,0.0343630677373,0.731282972141,0.0469901105953
99,211,7290061.75784,5342919,750986.287301,0.103015078918,0.732904490727,0.14055730347
100,212,7592452.58792,2576516,658227.722656,0.0866950059989,0.33935226729,0.25547201052
101,214,7300035.80843,1625688,316620.738894,0.0433724912045,0.222695893919,0.194761072785
102,215,5017790.89841,755421,249672.798833,0.0497575135927,0.15054852131,0.330508152187
103,216,14266308.0843,1762507,719781.448706,0.0504532388094,0.123543315452,0.408385015609
104,218,7118351.19953,1266575,735163.975968,0.103277283652,0.177930951213,0.580434617743
105,219,19877857.8496,4464386,725223.743033,0.0364839988554,0.224590900779,0.162446469242
106,220,13876828.5258,1640108,758765.225089,0.0546785761371,0.118190406183,0.462631256654
107,222,6220018.28687,1303613,870368.163447,0.139930161505,0.209583467424,0.667658395127
108,224,7251557.90508,5271313,599750.298794,0.0827064069052,0.726921451776,0.113776263863
109,225,4885512.08811,1044661,645362.947874,0.132097298346,0.213828352312,0.617772605538
110,226,89564358.2802,1174876,586665.678303,0.00655021360693,0.0131176733978,0.499342635566
111,227,6467410.58581,1206641,662449.314568,0.10242883234,0.18657250595,0.549002822354
112,228,121827022.495,2256601,737741.468003,0.00605564720285,0.0185229923032,0.326925968748
113,229,20763881.13,1456100,629818.011074,0.0303323837741,0.0701265813883,0.432537608045
114,230,6995724.1735,1382620,675521.619183,0.0965620716926,0.197637866461,0.48858082422
115,231,11247538.75,2707934,642436.388988,0.0571179529377,0.240757916926,0.237242262547
116,232,9473275.47163,1793029,693803.78653,0.0732380039626,0.189272338313,0.386945100458
117,233,6336664.61066,950575,611911.947808,0.0965668826434,0.150011884549,0.643728214826
118,234,2992047.5953,2392948,498640.863772,0.166655391631,0.799769363214,0.208379314457
119,236,7543200.22339,5945695,666231.361321,0.0883221101907,0.788219167451,0.112052730811
120,237,5212363.22096,3190026,577173.313459,0.110731598891,0.612011455221,0.180930598515
121,239,8276366.96056,536677,202629.614418,0.0244829180948,0.0648445148164,0.377563440241
122,24,11056224.9881,5518550,170300.803046,0.0154031600505,0.49913510316,0.0308597010168
123,240,30773019.2431,1163560530,1560762.7449,0.0507185444681,37.8110617229,0.00134136790022
124,241,5263211.32655,1089157,639966.652971,0.121592429653,0.206937729159,0.587579800682
125,242,5796267.88735,1884957,654267.640752,0.112877398607,0.325201843088,0.347099504526
126,245,9293018.3318,1522363,944494.33028,0.101634829133,0.163817927141,0.620413351008
127,247,12546987.7849,1378936,594489.866846,0.0473810827776,0.109901756791,0.431122160018
128,249,6431244.51543,336260,169046.404076,0.0262851775687,0.0522853701478,0.502725284232
129,25,5053601.28955,10427257,195483.164316,0.0386819523575,2.06333194935,0.0187473238951
130,251,20814718.8323,2835551,673021.735759,0.0323339335583,0.136228167329,0.237351306945
131,253,7377868.04278,1124161,766969.693113,0.103955463647,0.152369355684,0.68225965241
132,255,10408725.1898,1680289,731347.473792,0.0702629246575,0.161430815913,0.435251003721
133,257,6791227.3215,1054995,637817.044382,0.0939177874907,0.15534673632,0.6045687841
134,259,4332799.75467,524060,303305.923034,0.0700022941764,0.120951816302,0.578761826955
135,261,8095376.8611,1010599,648346.072258,0.0800884360768,0.124836560093,0.641546322783
136,263,6866736.69485,990360,716033.113778,0.104275603623,0.144225713612,0.723002861362
137,265,7934613.48589,866315,636640.40636,0.0802358435596,0.109181751769,0.734883277284
138,267,7057805.77389,417034,196154.306975,0.0277925340055,0.0590883361431,0.47035567118
139,269,9650163.65221,1165048,779871.84125,0.0808143643317,0.12072831529,0.669390309455
140,27,5893569.82551,712370,143810.5646,0.0244012659318,0.120872411983,0.201876222469
141,271,6339855.64715,1518448,851133.608353,0.134251259922,0.239508292382,0.560528650539
142,273,51703140.4147,3523815,672773.837786,0.0130122432098,0.0681547575589,0.190922008615
143,275,6601755.71692,3291227,243581.657375,0.0368964966018,0.498538137599,0.0740093762524
144,277,39017455.4636,9006660,575038.668606,0.0147379848781,0.230836683043,0.0638459394055
145,279,66862532.8557,1947637,714483.642509,0.0106858596585,0.0291289742823,0.366846410552
146,28,9075690.68227,3028891,761701.49536,0.083927661489,0.333736693552,0.251478674987
147,281,5991933.10292,667187,264868.017832,0.0442041012946,0.111347538188,0.396992174356
148,283,7471124.91044,1435828,506055.756446,0.06773488096,0.192183642652,0.352448730939
149,285,8075949.88729,865092,543336.068973,0.0672782863386,0.10711953542,0.628067383553
150,287,11087574.2974,24274177,581633.215342,0.0524581120939,2.18931358193,0.0239609860034
151,29,9849473.30114,2439011,1145464.05949,0.116296986089,0.247628571136,0.46964284273
152,291,151292169.461,1345825,810401.758444,0.00535653471909,0.00889553639686,0.602159833889
153,293,12503984.3187,1107811,686516.641454,0.0549038309675,0.08859664022,0.619705564807
154,295,7755895.09337,1153181,580429.640448,0.0748372216824,0.148684450488,0.503329174213
155,297,20168669.3361,75148583,186067.832211,0.00922558792106,3.72600600207,0.00247599921094
156,299,12800853.65,7231633,1642943.14133,0.128346373316,0.564933651905,0.227188401476
157,303,21986153.2723,934470,451266.696956,0.0205250409823,0.0425026601255,0.482911914728
158,307,7991564.30298,583023,328802.852364,0.0411437410622,0.0729548030769,0.56396206044
159,309,31139040.1253,4697957,807091.636689,0.0259189632513,0.150870321664,0.17179630139
160,31,8767167.08827,1668447,763028.341443,0.087032485381,0.190306285166,0.457328486576
161,311,9382812.94662,22013300,41202.765475,0.00439130202311,2.34613011314,0.00187172143545
162,319,16238653.3192,8632625,49316.7789194,0.00303699930961,0.531609661855,0.00571283693192
163,32,4125360.71071,2712134,695593.412095,0.168613961511,0.657429541363,0.256474573931
164,33,21826500.5292,1843548,1634989.3174,0.0749084497175,0.0844637461481,0.886871032053
165,34,9180531.53792,1325190,773899.857087,0.0842979356795,0.144347851159,0.583991621644
166,37,11863128.9178,2415718,1707075.5113,0.14389757737,0.203632449478,0.70665347168
167,38,6127456.46054,1517140,1025944.85308,0.167434050276,0.247597026559,0.676236110761
168,39,15333093.7225,3875848,1390292.09168,0.0906726402931,0.252776645741,0.358706557037
169,40,19238568.3361,1519485,865814.795906,0.0450041178106,0.0789811889042,0.569808057273
170,41,5780713.58275,1412708,1059098.95088,0.183212493703,0.244382977945,0.749694169552
171,42,8301713.87145,659033,432361.517188,0.0520809948263,0.0793851739779,0.656054426998
172,43,7675566.42121,1243623,805374.890385,0.104927095434,0.162023612559,0.647603727484
173,44,14477402.2127,109749450,945572.52129,0.0653136873175,7.5807419306,0.00861573813163
174,45,5340613.78682,703172,615522.743117,0.115253183939,0.131665016058,0.875351611152
175,47,16145962.2196,1341604,926715.80195,0.0573961334324,0.0830922296084,0.690752116086
176,48,3488978.20195,1317531,762000.524317,0.218402202654,0.377626606914,0.578354911055
177,49,3267137.95876,1589037,1227315.50405,0.375654630916,0.486369727896,0.772364333902
178,5,11021870.2659,1083136880,947928.212971,0.0860042978281,98.2716048973,0.000875169362686
179,50,17266583.7855,1055139,870106.50389,0.0503925104525,0.0611087296195,0.824636852481
180,52,8076823.04391,1425387,856026.16147,0.105985504055,0.17647867141,0.60055701467
181,54,10170090.5327,1797382,1057646.66001,0.103995795968,0.176732153388,0.588437327185
182,56,6665709.79219,1227346,788504.114613,0.118292595867,0.184128328155,0.642446477695
183,57,3561564.93214,961698,596899.311521,0.167594673379,0.270021189652,0.620672302033
184,58,10392373.3443,1509637,1044762.41536,0.100531647656,0.145263930575,0.692062009185
185,59,22852199.0041,1479683,680320.677063,0.0297704687825,0.0647501362882,0.459774611902
186,6,12068573.1676,4316620,626561.938159,0.0519168197812,0.357674427627,0.145151052944
187,60,6348659.06051,19454750,246624.018227,0.0388466313715,3.06438726896,0.0126768022322
188,61,6234186.53143,1201684,829223.542247,0.133012308513,0.19275714545,0.690051246623
189,62,23625230.9813,9697149,1198571.73158,0.0507326989746,0.410457320298,0.12360042437
190,63,16700118.8801,1554126,980869.603175,0.0587342886729,0.0930607746662,0.631139047397
191,64,13608586.4341,1743287,873027.351498,0.0641526844633,0.128101989758,0.500793817368
192,65,10514585.4144,2528571,802601.625769,0.076332217975,0.240482234947,0.317413126137
193,66,3533809.84382,2346205,706467.691706,0.199916725271,0.66393074435,0.30111081159
194,67,16027006.524,1233851,757316.725514,0.0472525374205,0.0769857426683,0.613782965296
195,68,5566613.80899,1327290,994702.283532,0.178690729708,0.2384375934,0.749423474547
196,69,8574467.92862,3111614,1064263.26616,0.124120035788,0.362892954514,0.342029334667
197,7,15822337.1423,1686464,1159209.75242,0.0732641291861,0.106587540439,0.687361101346
198,70,34430332.621,2003228,758207.470891,0.0220214971269,0.0581820693413,0.378492847989
199,71,8561245.94938,1819159,811939.186751,0.0948389044716,0.212487646162,0.446326674442
200,72,4823526.37864,1228149,882689.266529,0.182996670328,0.254616416205,0.718715128644
201,73,4809664.44065,1435584,852524.522693,0.177252391141,0.298479034809,0.593852064869
202,74,11196904.8102,1664867,990135.344057,0.0884293794438,0.148689930675,0.594723388749
203,75,13841567.6531,1636463,640502.695904,0.0462738550977,0.118228154571,0.391394547817
204,76,5723846.21025,1364760,1058712.20979,0.184965173923,0.238434079091,0.775749736063
205,77,11363404.6329,1287160,818602.834993,0.0720385185108,0.113272389885,0.635975974232
206,78,6748585.8523,1258808,678360.843955,0.100518961869,0.186529152559,0.538891430588
207,79,6833270.4721,3035467,1102368.12403,0.161323648541,0.444218769386,0.363162611891
208,8,12965437.0536,1385040,707785.462144,0.0545901737996,0.106825554301,0.511021676012
209,80,3362303.19577,1103513,823715.451863,0.24498547689,0.328201514185,0.74644834439
210,81,11446381.37,1617519,987013.646699,0.0862293169163,0.141312695053,0.610202196511
211,82,3373745.51992,1195807,1010041.18032,0.299382740742,0.354444931587,0.84465233965
212,83,6236228.71982,1796003,995175.373015,0.159579678316,0.287995049683,0.554105629565
213,84,6188073.69635,1249652,931453.398806,0.150523966668,0.201945235516,0.745370230117
214,87,6808236.16137,1521769,984117.138318,0.144548031971,0.223518832768,0.646692854381
215,88,8683396.89066,1130770,843886.849511,0.0971839546363,0.130222079474,0.746293985082
216,89,2957667.4864,1489713,742047.882935,0.250889556161,0.503678323155,0.498114658954
217,9,7356845.88481,1802017,1222064.68776,0.166112585053,0.244944236731,0.678164905081
218,90,14653105.3237,1235461,893256.313154,0.0609602055961,0.0843139370603,0.723014577679
219,91,3932263.49544,1443067,1084096.54826,0.275692752919,0.366981256895,0.751244778143
220,92,6615498.42395,1506553,1265594.45318,0.191307498253,0.227730838019,0.840059694667
221,93,27226725.0527,3109862,655666.401295,0.0240817211775,0.114220935275,0.21083456478
222,94,5141622.28296,1013734,904429.31852,0.175903492856,0.197162285405,0.892176170988
223,95,3621892.7562,1337141,1042287.42236,0.287774236434,0.369182935555,0.779489539518
224,96,28099514.9796,1790092,1171683.49653,0.0416976413074,0.0637054412256,0.654538144704
225,97,15112445.5582,3109480,642451.37302,0.042511410251,0.205756241637,0.206610550002
226,98,10552027.7015,1559367,911251.554793,0.0863579570269,0.147778895594,0.584372732521
227,99,13398800.1122,14908727,3730216.75551,0.27839931369,1.11269120184,0.250203572412
